NOMBRE	FECHA DE LICENCIAMIENTO	DEPARTAMENTO/PROVINCIA	TIPO DE GESTION	DIRECCION	ZIPCODE
Universidad Católica Santo Toribio de Mogrovejo	22-03-2018	Lambayeque/Chiclayo	Privada	34FH+3JH, Pichanaki 	12866
Universidad La Salle	19-01-2018	Arequipa/Arequipa	Privada	Av San Josemaría Escriva de Balaguer 855, Chiclayo 	14012
Universidad Nacional de Jaén	14-01-2018	Cajamarca/Jaén	Pública	Carretera Jaén - San Ignacio KM 24	06800
Universidad Nacional de Moquegua	06-12-2017	Moquegua/Mariscal Nieto	Pública	Miguel Grau 525, Moquegua 	18001
Universidad Católica de Santa María	31-12-2017	Arequipa/Arequipa	Privada	Av. San Jerónimo 453, Arequipa 	04013
Universidad Nacional del Altiplano	30-12-2017	Puno/Puno	Pública	Av. Floral 1153, Puno 	21001
Universidad Andina del Cusco	23-12-2017	Cusco/Cusco	Privada	Urb. Ingeniería Larapa Grande A-7	08006
Universidad Privada de Tacna	30-11-2017	Tacna/Tacna	Privada	XQWF+3H2, Granada, Tacna 	23003
Universidad Nacional de Ingeniería	28-11-2017	Lima/Lima	Pública	Av. Túpac Amaru 210, Rímac 	15333
Universidad de Ciencias y Humanidades	21-11-2017	Lima/Lima	Privada	Av. Universitaria 5175, Los Olivos 	15304
Universidad Privada del Norte	11-11-2017	La Libertad/Trujillo	Privada	Av Ejercito 920, Trujillo 	13001
Universidad Católica San Pablo	22-10-2017	Arequipa/Arequipa	Privada	Quinta Vivanco 21, Arequipa 	04001
Universidad Marcelino Champagnat	12-10-2017	Lima/Lima	Privada	Av. Mariscal Ramón Castilla 1270, Santiago de Surco 	15049
Universidad San Ignacio de Loyola	08-10-2017	Lima/Lima	Privada	Av. la Fontana 550, La Molina 	15024
Universidad Peruana de Ciencias Aplicadas	06-10-2017	Lima/Lima	Privada	Prolongación Primavera 2390, Santiago de Surco 	15023
Universidad Nacional José María Arguedas	02-10-2017	Apurímac/Andahuaylas	Pública	8JV6+3RQ, Jr. Juan F. Ramos, Andahuaylas 	03701
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas	17-09-2017	Amazonas/Chachapoyas	Pública	Q48W+QPX, Chachapoyas 	01001
Universidad de San Martín de Porres	11-08-2017	Lima/Lima	Privada	Jr. Las, Calandrias N° 151 – 291, Santa Anita 	15011
Universidad Antonio Ruiz de Montoya	03-06-2017	Lima/Lima	Privada	Av. Paso de Los Andes 970, Pueblo Libre 	15084
Universidad Nacional Autónoma de Huanta	19-04-2017	Ayacucho/Huanta	Pública	Jr Manco Cápac N° 497, Huanta 	05121
Universidad Nacional Agraria la Molina	20-03-2017	Lima/Lima	Pública	W364+W9C, Av. Raúl Ferrero, La Molina 	15024
Universidad de Piura	27-01-2017	Piura/Piura	Privada	Av. Ramón Mugica 131, Piura 	20009
Universidad Ricardo Palma	31-12-2016	Lima/Lima	Privada	33, Av. Alfredo Benavides 5440, Santiago de Surco 	15039
Universidad Femenina del Sagrado Corazón	15-12-2016	Lima/Lima	Privada	Av Los Frutales 954, La Molina 	15023
Universidad de Ciencias y Artes de América Latina	12-10-2016	Lima/Lima	Privada	Av. la Molina 3755, La Molina 	15026
Universidad para el Desarrollo Andino	28-09-2016	Huancavelica/Angaraes	Privada	Av. Ricardo Fernandez No 103, Lircay	09406
Universidad Peruana Cayetano Heredia	27-07-2016	Lima/Lima	Privada	Av. Honorio Delgado 430, San Martín de Porres 	15102
Universidad del Pacífico	27-07-2016	Lima/Lima	Privada	Jr. Gral, Jirón Luis Sánchez Cerro 2141 Lima, Jesús María 	15072
Universidad de Lima	12-07-2016	Lima/Lima	Privada	Av. Javier Prado Este 4600, Santiago de Surco 	15023
Pontificia Universidad Católica del Perú	06-07-2016	Lima/Lima	Privada	Av. Universitaria 1801, San Miguel 	15088
Universidad de Ingeniería y Tecnología	25-03-2016	Lima/Lima	Privada	Jr. Medrano Silva 165, Barranco 	15063
